oare_id,sentence_uuid,transliteration,transliteration_with_annotations,translation
004a7dbd-57ce-46f8-9691-409be61c676e,6e455ba9-94e5-4d7a-a00a-b2ae79e4a2fb,KIŠIB ma-nu-ba-lúm-a-šur DUMU ṣí-lá-{d}IM KIŠIB šu-{d}EN.LÍL DUMU ma-nu-ki-a-šur KIŠIB MAN-a-šur DUMU a-ta-a ⅓,"KIŠIB {seal} ma-nu-ba-lúm-a-šur DUMU {son, descendant; boy; status of son, to disinherit, status of adopted son (or daughter), to adopt, to put up for adoption} ṣí-lá-{d}IM KIŠIB {seal} šu-{d}EN.LÍL DUMU {son, descendant; boy; status of son, to disinherit, status of adopted son (or daughter), to adopt, to put up for adoption} ma-nu-ki-a-šur KIŠIB {seal} MAN-a-šur DUMU {son, descendant; boy; status of son, to disinherit, status of adopted son (or daughter), to adopt, to put up for adoption} a-ta-a ⅓","Seals of Mannum-bālum-Aššur s. ?, Šū-Enlil s. ?, Puzur-Aššur s. Attaya"
004a7dbd-57ce-46f8-9691-409be61c676e,a1beac04-7b5e-4692-9b88-0f1fb37cbf2b,ma-na 2 GÍN KÙ.BABBAR SIG₅ i-ṣé-er PUZUR₄-a-šur DUMU a-ta-a a-lá-ḫu-um i-šu,"ma-na {mina (c. 480 grams), (standard) mina of PlN/the king, a mina-weight, small mina (= 1/3 shekel); to count, calculate; recite; to love} 2 GÍN {shekel} KÙ.BABBAR {silver, price; money} SIG₅ {good} i-ṣé-er PUZUR₄-a-šur DUMU {son, descendant; boy; status of son, to disinherit, status of adopted son (or daughter), to adopt, to put up for adoption} a-ta-a a-lá-ḫu-um i-šu",Puzur-Aššur s. Attaya owes Al-ahum ⅓ mina 2 shekels fine silver.
004a7dbd-57ce-46f8-9691-409be61c676e,8b89b46d-98d5-4398-9e21-98778613b015,iš-tù ḫa-muš-tim ša ì-lí-dan ITU.KAM ša ke-na-tim li-mu-um e-na-sú-in a-na ITU 14 ḫa-am-ša-tim i-ša-qal,"iš-tù ḫa-muš-tim {group of five, overseer of a group of five (merchants); a fifth} ša ì-lí-dan ITU.KAM {[ITI; also ITI.1.KAM; OA ITI.KAM; NB astr. ÁB]} ša ke-na-tim li-mu-um {eponym (of year), eponymate, in his second eponymate, office of the eponym official; environs; family, tribe; encirclement} e-na-sú-in a-na ITU {[ITI; also ITI.1.KAM; OA ITI.KAM; NB astr. ÁB]} 14 ḫa-am-ša-tim {group of five, overseer of a group of five (merchants); a fifth} i-ša-qal {to take away; to weigh, pay; balance, suspend}",He will pay fourteen weeks from the hamuštum of Ilīdan month of ša kēnātim eponymate Enna-Suen.
004a7dbd-57ce-46f8-9691-409be61c676e,0f0afbb8-98a9-497d-bf29-4ff0a838c5cf,šu-ma lá iš-qú-ul 1 ½ GÍN.TA a-na 1 ma-na-im i-na ITU.1.KAM ṣí-ib-tám ú-ṣa-áb,"šu-ma lá {to be(come) little} iš-qú-ul {to take away; to weigh, pay; balance, suspend} 1 ½ GÍN.TA {shekel} a-na 1 ma-na-im {mina (c. 480 grams), (standard) mina of PlN/the king, a mina-weight, small mina (= 1/3 shekel); to count, calculate; recite; to love} i-na ITU.1.KAM {[ITI; also ITI.1.KAM; OA ITI.KAM; NB astr. ÁB]} ṣí-ib-tám {seizure; (addition =) interest; (= *ṣ.* I or II ?) NB; (or *s/ṣ/zib/ptum*) mng. unkn. OA} ú-ṣa-áb {to sit (down); dwell; to add, increase}","If he does not pay (on time), he will add 1 ½ shekels of interest per mina per month."
009fb838-8038-42bc-ad34-5f795b3840ee,17b1caa0-3d8d-4e03-94c2-764ba5450c2b,KIŠIB šu-{d}EN.LÍL DUMU šu-ku-bi-im KIŠIB ṣí-lu-lu DUMU ú-ku,"KIŠIB {seal} šu-{d}EN.LÍL DUMU {son, descendant; boy; status of son, to disinherit, status of adopted son (or daughter), to adopt, to put up for adoption} šu-ku-bi-im KIŠIB {seal} ṣí-lu-lu DUMU {son, descendant; boy; status of son, to disinherit, status of adopted son (or daughter), to adopt, to put up for adoption} ú-ku","Seal of Šu-Illil son of Šu-kūbum, seal of Ṣilūlū son of Uku."
009fb838-8038-42bc-ad34-5f795b3840ee,b7e9e8f9-4c4e-40ae-813a-eb2741768018,i-nu-mì i-dí-a-bu-um a-wa-sú iq-bi-ú 10 ma-na KÙ.BABBAR a-na ša-lim-a-šùr i-dí-in,"i-nu-mì {when; in those days; then, since then} i-dí-a-bu-um a-wa-sú {word; matter} iq-bi-ú {to say, speak, command} 10 ma-na {mina (c. 480 grams), (standard) mina of PlN/the king, a mina-weight, small mina (= 1/3 shekel); to count, calculate; recite; to love} KÙ.BABBAR {silver, price; money} a-na ša-lim-a-šùr i-dí-in {Ass. base for}","When Iddin-abum spoke his will, he gave 10 minas of silver to Šalim-Aššur."
009fb838-8038-42bc-ad34-5f795b3840ee,37d11fd2-88df-492c-b833-d7e33890d1d5,um-ma šu-ut-ma i-ṣí-ba-at KÙ-pì-a li-il₅-qé,"um-ma šu-ut-ma i-ṣí-ba-at KÙ-pì-a {silver, price; money} li-il₅-qé {to suffer; to take, take over}",He said: He may take it from the interest on my silver.
0126cd13-acf7-4cd5-8373-f1e7b54d824e,2616d974-93f1-4ff1-b3c5-66f03e1fd441,a-na É šál-ma-a-šùr a-na a-wa-tim né-ru-ub-ma,a-na É {house} šál-ma-a-šùr a-na a-wa-tim {word; matter} né-ru-ub-ma,"We entered Šalim-Aššur’s house to settle the case,"
0126cd13-acf7-4cd5-8373-f1e7b54d824e,77e57897-cc6a-47d8-a9da-0c18fb9ce66e,um-ma šál-ma-a-šùr-ma i-a-tí a-na bu-ru-uš-ḫa-dim i-na ma-ak-sú-e-im a-na ḫu-bu-ul ÌR a-bu-ša-lim ša-qá-lim i-ra-de₈-ú-ni a-ta 30 TÚG ku-ta-ni ù ANŠE ṣa-lá-ma-am ša ÌR,"um-ma šál-ma-a-šùr-ma i-a-tí {I; me, as for me} a-na bu-ru-uš-ḫa-dim i-na ma-ak-sú-e-im a-na ḫu-bu-ul {pit, trench; debt; interest-bearing loan; interest, (interest-bearing) debt, on loan, creditor, debtor's prison} ÌR {slave, servant; slavery, status as slave, vassalage, (political) servitude} a-bu-ša-lim ša-qá-lim {to take away; to weigh, pay; balance, suspend} i-ra-de₈-ú-ni {to accompany, lead, drive, proceed} a-ta 30 TÚG {textile, garment, textile, cloth, garment, clothing, cortex} ku-ta-ni {(a textile) OAkk, OA, Mari; or *qutānum* ?} ù ANŠE {flood dragon; donkey, donkey driver, donkey} ṣa-lá-ma-am {black, very dark, black (people); black (one); friend} ša ÌR {slave, servant; slavery, status as slave, vassalage, (political) servitude}","and Šalim-Aššur said: While they are going to lead me personally to Burušhaddum in fetters to pay the debt of the slave Abu-šalim, will you on the other hand take 30 kutānu-textiles and a black donkey from the slave?"
0126cd13-acf7-4cd5-8373-f1e7b54d824e,c776d6ce-7e6a-4f0f-ac16-7a1547f21593,ta-lá-qé-e um-ma šu-be-lúm-ma ke-na ša ÌR-dí-a a-bu-ša-lim al-qé ša-lim-a-šur ša ni-iš a-lim{ki} úz-na-tí-ni,"ta-lá-qé-e {to suffer; to take, take over} um-ma šu-be-lúm-ma ke-na {yes!} ša ÌR-dí-a {slave, servant; slavery, status as slave, vassalage, (political) servitude} a-bu-ša-lim al-qé {to suffer; to take, take over} ša-lim-a-šur ša ni-iš a-lim{ki} úz-na-tí-ni {ear; wisdom, understanding}","Šu-Bēlum answered: Yes, I have taken what belongs to my slave Abu-šalim. Šalim-Aššur impressed on us what had been sworn by the City, and Šalim-Aššur said:"
